C:\Users\KIIT\Desktop\__pycache__\IMG\center_2020_01_03_15_10_32_546.jpg,C:\Users\KIIT\Desktop\__pycache__\IMG\left_2020_01_03_15_10_32_546.jpg,C:\Users\KIIT\Desktop\__pycache__\IMG\right_2020_01_03_15_10_32_546.jpg,0,0,0,5.275947E-05
C:\Users\KIIT\Desktop\__pycache__\IMG\center_2020_01_03_15_10_32_639.jpg,C:\Users\KIIT\Desktop\__pycache__\IMG\left_2020_01_03_15_10_32_639.jpg,C:\Users\KIIT\Desktop\__pycache__\IMG\right_2020_01_03_15_10_32_639.jpg,0,0,0,5.25524E-05
C:\Users\KIIT\Desktop\__pycache__\IMG\center_2020_01_03_15_10_32_734.jpg,C:\Users\KIIT\Desktop\__pycache__\IMG\left_2020_01_03_15_10_32_734.jpg,C:\Users\KIIT\Desktop\__pycache__\IMG\right_2020_01_03_15_10_32_734.jpg,0,0,0,5.537764E-05
C:\Users\KIIT\Desktop\__pycache__\IMG\center_2020_01_03_15_10_32_832.jpg,C:\Users\KIIT\Desktop\__pycache__\IMG\left_2020_01_03_15_10_32_832.jpg,C:\Users\KIIT\Desktop\__pycache__\IMG\right_2020_01_03_15_10_32_832.jpg,0,0,0,5.320062E-05
C:\Users\KIIT\Desktop\__pycache__\IMG\center_2020_01_03_15_10_32_923.jpg,C:\Users\KIIT\Desktop\__pycache__\IMG\left_2020_01_03_15_10_32_923.jpg,C:\Users\KIIT\Desktop\__pycache__\IMG\right_2020_01_03_15_10_32_923.jpg,0,0,0,5.273987E-05
C:\Users\KIIT\Desktop\__pycache__\IMG\center_2020_01_03_15_10_33_022.jpg,C:\Users\KIIT\Desktop\__pycache__\IMG\left_2020_01_03_15_10_33_022.jpg,C:\Users\KIIT\Desktop\__pycache__\IMG\right_2020_01_03_15_10_33_022.jpg,0,0,0,5.300676E-05
C:\Users\KIIT\Desktop\__pycache__\IMG\center_2020_01_03_15_10_33_115.jpg,C:\Users\KIIT\Desktop\__pycache__\IMG\left_2020_01_03_15_10_33_115.jpg,C:\Users\KIIT\Desktop\__pycache__\IMG\right_2020_01_03_15_10_33_115.jpg,0,0,0,5.291197E-05
C:\Users\KIIT\Desktop\__pycache__\IMG\center_2020_01_03_15_10_33_213.jpg,C:\Users\KIIT\Desktop\__pycache__\IMG\left_2020_01_03_15_10_33_213.jpg,C:\Users\KIIT\Desktop\__pycache__\IMG\right_2020_01_03_15_10_33_213.jpg,0,0,0,5.292211E-05
C:\Users\KIIT\Desktop\__pycache__\IMG\center_2020_01_03_15_10_33_305.jpg,C:\Users\KIIT\Desktop\__pycache__\IMG\left_2020_01_03_15_10_33_305.jpg,C:\Users\KIIT\Desktop\__pycache__\IMG\right_2020_01_03_15_10_33_305.jpg,0,0,0,5.268952E-05
C:\Users\KIIT\Desktop\__pycache__\IMG\center_2020_01_03_15_10_33_409.jpg,C:\Users\KIIT\Desktop\__pycache__\IMG\left_2020_01_03_15_10_33_409.jpg,C:\Users\KIIT\Desktop\__pycache__\IMG\right_2020_01_03_15_10_33_409.jpg,0,0,0,5.298818E-05
